ID,pclass,survived,sex,age,age_b,fare
61,1,0,male,36,Adult,"78,85"
62,1,1,female,76,Adult,"78,85"
63,1,0,male,46,Adult,"61,18"
64,1,1,female,47,Adult,"61,18"
65,1,1,male,27,Adult,"53,10"
66,1,1,female,33,Adult,"53,10"
67,1,1,female,36,Adult,"262,38"
68,1,1,female,30,Adult,"86,50"
69,1,1,male,45,Adult,"29,70"
70,1,1,female,,Adult,"55,00"
71,1,0,male,,Adult,"0,00"
72,1,0,male,27,Adult,"136,78"
73,1,1,female,26,Adult,"136,78"
74,1,1,female,22,Adult,"151,55"
75,1,0,male,,Adult,"52,00"
76,1,0,male,47,Adult,"25,59"
77,1,1,female,39,Adult,"83,16"
78,1,0,male,37,Adult,"83,16"
79,1,1,female,64,Adult,"83,16"
80,1,1,female,55,Adult,"25,70"
81,1,0,male,,Adult,"26,55"
82,1,0,male,70,Adult,"71,00"
83,1,1,female,36,Adult,"71,00"
84,1,1,female,64,Adult,"26,55"
85,1,0,male,39,Adult,"71,28"
86,1,1,female,38,Adult,"71,28"
87,1,1,male,51,Adult,"26,55"
88,1,1,male,27,Adult,"30,50"
89,1,1,female,33,Adult,"151,55"
90,1,0,male,31,Adult,"52,00"
91,1,1,female,27,Adult,"52,00"
92,1,1,male,31,Adult,"57,00"
93,1,1,female,17,Adult,"57,00"
94,1,1,male,53,Adult,"81,86"
95,1,1,male,4,Child,"81,86"
96,1,1,female,54,Adult,"81,86"
97,1,0,male,50,Adult,"106,43"
98,1,1,female,27,Adult,"247,52"
99,1,1,female,48,Adult,"106,43"
100,1,1,female,48,Adult,"39,60"
101,1,1,male,49,Adult,"56,93"
102,1,0,male,39,Adult,"29,70"
103,1,1,female,23,Adult,"83,16"
104,1,1,female,38,Adult,"227,53"
105,1,1,female,54,Adult,"78,27"
106,1,0,female,36,Adult,"31,68"
107,1,0,male,,Adult,"221,78"
108,1,1,female,,Adult,"31,68"
109,1,1,female,,Adult,"110,88"
110,1,1,male,36,Adult,"26,39"
111,1,0,male,30,Adult,"27,75"
112,1,1,female,24,Adult,"263,00"
113,1,1,female,28,Adult,"263,00"
114,1,1,female,23,Adult,"263,00"
115,1,0,male,19,Adult,"263,00"
116,1,0,male,64,Adult,"263,00"
117,1,1,female,60,Adult,"263,00"
118,1,1,female,30,Adult,"56,93"
119,1,0,male,,Adult,"26,55"
120,1,1,male,50,Adult,"133,65"
121,1,1,male,43,Adult,"27,72"
122,1,1,female,,Adult,"133,65"
123,1,1,female,22,Adult,"49,50"
124,1,1,male,60,Adult,"79,20"
125,1,1,female,48,Adult,"79,20"
126,1,0,male,,Adult,"0,00"
127,1,0,male,37,Adult,"53,10"
128,1,1,female,35,Adult,"53,10"
129,1,0,male,47,Adult,"38,50"
130,1,1,female,35,Adult,"211,50"
131,1,1,female,22,Adult,"59,40"
132,1,1,female,45,Adult,"59,40"
133,1,0,male,24,Adult,"79,20"
134,1,1,male,49,Adult,"89,10"
135,1,1,female,,Adult,"89,10"
136,1,0,male,71,Adult,"34,65"
137,1,1,male,53,Adult,"28,50"
138,1,1,female,19,Adult,"30,00"
139,1,0,male,38,Adult,"153,46"
140,1,1,female,58,Adult,"153,46"
141,1,1,male,23,Adult,"63,36"
142,1,1,female,45,Adult,"63,36"
143,1,0,male,46,Adult,"79,20"
144,1,1,male,25,Adult,"55,44"
145,1,1,female,25,Adult,"55,44"
146,1,1,male,48,Adult,"76,73"
147,1,1,female,49,Adult,"76,73"
148,1,0,male,,Adult,"42,40"
149,1,0,male,45,Adult,"83,48"
150,1,1,female,35,Adult,"83,48"
151,1,0,male,40,Adult,"0,00"
152,1,1,male,27,Adult,"76,73"
153,1,1,male,,Adult,"30,00"
154,1,1,female,24,Adult,"83,16"
155,1,0,male,55,Adult,"93,50"
156,1,1,female,52,Adult,"93,50"
157,1,0,male,42,Adult,"42,50"
158,1,0,male,,Adult,"51,86"
159,1,0,male,55,Adult,"50,00"
160,1,1,female,16,Adult,"57,98"
161,1,1,female,44,Adult,"57,98"
162,1,1,female,51,Adult,"77,96"
163,1,0,male,42,Adult,"52,00"
164,1,1,female,35,Adult,"52,00"
165,1,1,male,35,Adult,"26,55"
166,1,1,male,38,Adult,"90,00"
167,1,0,male,,Adult,"30,70"
168,1,1,female,35,Adult,"90,00"
169,1,1,female,38,Adult,"80,00"
170,1,0,female,50,Adult,"28,71"
171,1,1,male,49,Adult,"0,00"
172,1,0,male,46,Adult,"26,00"
173,1,0,male,50,Adult,"26,00"
174,1,0,male,"32,5",Adult,"211,50"
175,1,0,male,58,Adult,"29,70"
176,1,0,male,41,Adult,"51,86"
177,1,1,female,,Adult,"51,86"
178,1,1,male,42,Adult,"52,55"
179,1,1,female,45,Adult,"52,55"
180,1,0,male,,Adult,"26,55"
181,1,1,female,39,Adult,"211,34"
182,1,1,female,49,Adult,"25,93"
183,1,1,female,30,Adult,"106,43"
184,1,1,male,35,Adult,"512,33"
185,1,0,male,,Adult,"27,72"
186,1,0,male,42,Adult,"26,55"
187,1,1,female,55,Adult,"27,72"
188,1,1,female,16,Adult,"39,40"
189,1,1,female,51,Adult,"39,40"
190,1,0,male,29,Adult,"30,00"
191,1,1,female,21,Adult,"77,96"
192,1,0,male,30,Adult,"45,50"
193,1,1,female,58,Adult,"146,52"
194,1,1,female,15,Adult,"211,34"
195,1,0,male,30,Adult,"26,00"
196,1,1,female,16,Adult,"86,50"
197,1,1,male,,Adult,"29,70"
198,1,0,male,19,Adult,"53,10"
199,1,1,female,18,Adult,"53,10"
200,1,1,female,24,Adult,"49,50"
201,1,0,male,46,Adult,"75,24"
202,1,0,male,54,Adult,"51,86"
203,1,1,male,36,Adult,"26,29"
204,1,0,male,28,Adult,"82,17"
205,1,1,female,,Adult,"82,17"
206,1,0,male,65,Adult,"26,55"
207,1,0,male,44,Adult,"90,00"
208,1,1,female,33,Adult,"90,00"
209,1,1,female,37,Adult,"90,00"
210,1,1,male,30,Adult,"57,75"
211,1,0,male,55,Adult,"30,50"
212,1,0,male,47,Adult,"42,40"
213,1,0,male,37,Adult,"29,70"
214,1,1,female,31,Adult,"113,28"
215,1,1,female,23,Adult,"113,28"
216,1,0,male,58,Adult,"113,28"
217,1,1,female,19,Adult,"26,28"
218,1,0,male,64,Adult,"26,00"
219,1,1,female,39,Adult,"108,90"
220,1,1,male,,Adult,"25,74"
221,1,1,female,22,Adult,"61,98"
222,1,0,male,65,Adult,"61,98"
223,1,0,male,"28,5",Adult,"27,72"
224,1,0,male,,Adult,"0,00"
225,1,0,male,"45,5",Adult,"28,50"
226,1,0,male,23,Adult,"93,50"
227,1,0,male,29,Adult,"66,60"
228,1,1,female,22,Adult,"66,60"
229,1,0,male,18,Adult,"108,90"
230,1,1,female,17,Adult,"108,90"
231,1,1,female,30,Adult,"93,50"
232,1,1,male,52,Adult,"30,50"
233,1,0,male,47,Adult,"52,00"
234,1,1,female,56,Adult,"83,16"
235,1,0,male,38,Adult,"0,00"
236,1,1,male,,Adult,"39,60"
237,1,0,male,22,Adult,"135,63"
238,1,0,male,,Adult,"227,53"
239,1,1,female,43,Adult,"211,34"
240,1,0,male,31,Adult,"50,50"
241,1,1,male,45,Adult,"26,55"
242,1,0,male,,Adult,"50,00"
243,1,1,female,33,Adult,"27,72"
244,1,0,male,46,Adult,"79,20"
245,1,0,male,36,Adult,"40,13"
246,1,1,female,33,Adult,"86,50"
247,1,0,male,55,Adult,"59,40"
248,1,1,female,54,Adult,"59,40"
249,1,0,male,33,Adult,"26,55"
250,1,1,male,13,Child,"262,38"
251,1,1,female,18,Adult,"262,38"
252,1,1,female,21,Adult,"262,38"
253,1,0,male,61,Adult,"262,38"
254,1,1,female,48,Adult,"262,38"
255,1,1,male,,Adult,"30,50"
256,1,1,female,24,Adult,"69,30"
257,1,1,male,,Adult,"26,00"
258,1,1,female,35,Adult,"57,75"
259,1,1,female,30,Adult,"31,00"
260,1,1,male,34,Adult,"26,55"
261,1,1,female,40,Adult,"153,46"
262,1,1,male,35,Adult,"26,29"
263,1,0,male,50,Adult,"55,90"
264,1,1,female,39,Adult,"55,90"
265,1,1,male,56,Adult,"35,50"
266,1,1,male,28,Adult,"35,50"
267,1,0,male,56,Adult,"26,55"
268,1,0,male,56,Adult,"30,70"
269,1,0,male,24,Adult,"60,00"
270,1,0,male,,Adult,"26,00"
271,1,1,female,18,Adult,"60,00"
272,1,1,male,24,Adult,"82,27"
273,1,1,female,23,Adult,"82,27"
274,1,1,male,6,Child,"134,50"
275,1,1,male,45,Adult,"134,50"
276,1,1,female,40,Adult,"134,50"
277,1,0,male,57,Adult,"146,52"
278,1,1,female,,Adult,"146,52"
279,1,1,male,32,Adult,"30,50"
280,1,0,male,62,Adult,"26,55"
281,1,1,male,54,Adult,"55,44"
282,1,1,female,43,Adult,"55,44"
283,1,1,female,52,Adult,"78,27"
284,1,0,male,,Adult,"27,72"
285,1,1,female,62,Adult,"80,00"
286,1,0,male,67,Adult,"221,78"
287,1,0,female,63,Adult,"221,78"
288,1,0,male,61,Adult,"32,32"
289,1,1,female,48,Adult,"25,93"
290,1,1,female,18,Adult,"79,65"
291,1,0,male,52,Adult,"79,65"
292,1,1,female,39,Adult,"79,65"
293,1,1,male,48,Adult,"52,00"
294,1,1,female,,Adult,"52,00"
295,1,0,male,49,Adult,"110,88"
296,1,1,male,17,Adult,"110,88"
297,1,1,female,39,Adult,"110,88"
298,1,1,female,,Adult,"79,20"
299,1,1,male,31,Adult,"28,54"
300,1,0,male,40,Adult,"27,72"
301,1,0,male,61,Adult,"33,50"
302,1,0,male,47,Adult,"34,02"
303,1,1,female,35,Adult,"512,33"
304,1,0,male,64,Adult,"75,25"
305,1,1,female,60,Adult,"75,25"
306,1,0,male,60,Adult,"26,55"
307,1,0,male,54,Adult,"77,29"
308,1,0,male,21,Adult,"77,29"
309,1,1,female,55,Adult,"135,63"
310,1,1,female,31,Adult,"164,87"
311,1,0,male,57,Adult,"164,87"
312,1,1,female,45,Adult,"164,87"
313,1,0,male,50,Adult,"211,50"
314,1,0,male,27,Adult,"211,50"
315,1,1,female,50,Adult,"211,50"
316,1,1,female,21,Adult,"26,55"
317,1,0,male,51,Adult,"61,38"
318,1,1,male,21,Adult,"61,38"
319,1,0,male,,Adult,"35,00"
320,1,1,female,31,Adult,"134,50"
321,1,1,male,,Adult,"35,50"
322,1,0,male,62,Adult,"26,55"
323,1,1,female,36,Adult,"135,63"
324,2,0,male,30,Adult,"24,00"
325,2,1,female,28,Adult,"24,00"
326,2,0,male,30,Adult,"13,00"
327,2,0,male,18,Adult,"11,50"
328,2,0,male,25,Adult,"10,50"
329,2,0,male,34,Adult,"26,00"
330,2,1,female,36,Adult,"26,00"
331,2,0,male,57,Adult,"13,00"
332,2,0,male,18,Adult,"11,50"
333,2,0,male,23,Adult,"10,50"
334,2,1,female,36,Adult,"13,00"
335,2,0,male,28,Adult,"10,50"
336,2,0,male,51,Adult,"12,53"
337,2,1,male,32,Adult,"26,00"
338,2,1,female,19,Adult,"26,00"
339,2,0,male,28,Adult,"26,00"
340,2,1,male,1,Child,"39,00"
341,2,1,female,4,Child,"39,00"
342,2,1,female,12,Child,"39,00"
343,2,1,female,36,Adult,"39,00"
344,2,1,male,34,Adult,"13,00"
345,2,1,female,19,Adult,"13,00"
346,2,0,male,23,Adult,"13,00"
347,2,0,male,26,Adult,"13,00"
348,2,0,male,42,Adult,"13,00"
349,2,0,male,27,Adult,"13,00"
350,2,1,female,24,Adult,"13,00"
351,2,1,female,15,Adult,"39,00"
352,2,0,male,60,Adult,"39,00"
353,2,1,female,40,Adult,"39,00"
354,2,1,female,20,Adult,"26,00"
355,2,0,male,25,Adult,"26,00"
356,2,1,female,36,Adult,"13,00"
357,2,0,male,25,Adult,"13,00"
358,2,0,male,42,Adult,"13,00"
359,2,1,female,42,Adult,"13,00"
360,2,1,male,"0,8333",Child,"29,00"
361,2,1,male,26,Adult,"29,00"
362,2,1,female,22,Adult,"29,00"
363,2,1,female,35,Adult,"21,00"
364,2,0,male,,Adult,"0,00"
365,2,0,male,19,Adult,"13,00"
366,2,0,female,44,Adult,"26,00"
367,2,0,male,54,Adult,"26,00"
368,2,0,male,52,Adult,"13,50"
369,2,0,male,37,Adult,"26,00"
370,2,0,female,29,Adult,"26,00"
371,2,1,female,25,Adult,"30,00"
372,2,1,female,45,Adult,"30,00"
373,2,0,male,29,Adult,"26,00"
374,2,1,female,28,Adult,"26,00"
375,2,0,male,29,Adult,"10,50"
376,2,0,male,28,Adult,"13,00"
377,2,1,male,24,Adult,"10,50"
378,2,1,female,8,Child,"26,25"
379,2,0,male,31,Adult,"26,25"
380,2,1,female,31,Adult,"26,25"
381,2,1,female,22,Adult,"10,50"
382,2,0,female,30,Adult,"13,00"
383,2,0,female,,Adult,"21,00"
384,2,0,male,21,Adult,"11,50"
385,2,0,male,,Adult,"0,00"
386,2,1,male,8,Child,"36,75"
387,2,0,male,18,Adult,"73,50"
388,2,1,female,48,Adult,"36,75"
389,2,1,female,28,Adult,"13,00"
390,2,0,male,32,Adult,"13,00"
391,2,0,male,17,Adult,"73,50"
392,2,0,male,29,Adult,"27,72"
393,2,1,female,24,Adult,"27,72"
394,2,0,male,25,Adult,"31,50"
395,2,0,male,18,Adult,"73,50"
396,2,1,female,18,Adult,"23,00"
397,2,1,female,34,Adult,"23,00"
398,2,0,male,54,Adult,"26,00"
399,2,1,male,8,Child,"32,50"
400,2,0,male,42,Adult,"32,50"
401,2,1,female,34,Adult,"32,50"
402,2,1,female,27,Adult,"13,86"
403,2,1,female,30,Adult,"13,86"
404,2,0,male,23,Adult,"13,00"
405,2,0,male,21,Adult,"13,00"
406,2,0,male,18,Adult,"13,00"
407,2,0,male,40,Adult,"26,00"
408,2,1,female,29,Adult,"26,00"
409,2,0,male,18,Adult,"10,50"
410,2,0,male,36,Adult,"13,00"
411,2,0,male,,Adult,"0,00"
412,2,0,female,38,Adult,"13,00"
413,2,0,male,35,Adult,"26,00"
414,2,0,male,38,Adult,"21,00"
415,2,0,male,34,Adult,"21,00"
416,2,1,female,34,Adult,"13,00"
417,2,0,male,16,Adult,"26,00"
418,2,0,male,26,Adult,"10,50"
419,2,0,male,47,Adult,"10,50"
420,2,0,male,21,Adult,"11,50"
421,2,0,male,21,Adult,"11,50"
422,2,0,male,24,Adult,"13,50"
423,2,0,male,24,Adult,"13,00"
424,2,0,male,34,Adult,"13,00"
425,2,0,male,30,Adult,"13,00"
426,2,0,male,52,Adult,"13,00"
427,2,0,male,30,Adult,"13,00"
428,2,1,male,"0,6667",Child,"14,50"
429,2,1,female,24,Adult,"14,50"
430,2,0,male,44,Adult,"13,00"
431,2,1,female,6,Child,"33,00"
432,2,0,male,28,Adult,"33,00"
433,2,1,male,62,Adult,"10,50"
434,2,0,male,30,Adult,"10,50"
435,2,1,female,7,Child,"26,25"
436,2,0,male,43,Adult,"26,25"
437,2,1,female,45,Adult,"26,25"
438,2,1,female,24,Adult,"65,00"
439,2,1,female,24,Adult,"65,00"
440,2,0,male,49,Adult,"65,00"
441,2,1,female,48,Adult,"65,00"
442,2,1,female,55,Adult,"16,00"
443,2,0,male,24,Adult,"73,50"
444,2,0,male,32,Adult,"73,50"
445,2,0,male,21,Adult,"73,50"
446,2,0,female,18,Adult,"13,00"
447,2,1,female,20,Adult,"23,00"
448,2,0,male,23,Adult,"11,50"
449,2,0,male,36,Adult,"13,00"
450,2,1,female,54,Adult,"23,00"
451,2,0,male,50,Adult,"13,00"
452,2,0,male,44,Adult,"26,00"
453,2,1,female,29,Adult,"26,00"
454,2,0,male,21,Adult,"73,50"
455,2,1,male,42,Adult,"13,00"
456,2,0,male,63,Adult,"26,00"
457,2,0,female,60,Adult,"26,00"
458,2,0,male,33,Adult,"12,28"
459,2,1,female,17,Adult,"10,50"
460,2,0,male,42,Adult,"27,00"
461,2,1,female,24,Adult,"27,00"
462,2,0,male,47,Adult,"15,00"
463,2,0,male,24,Adult,"31,50"
464,2,0,male,22,Adult,"31,50"
465,2,0,male,32,Adult,"10,50"
466,2,1,female,23,Adult,"13,79"
467,2,0,male,34,Adult,"26,00"
468,2,1,female,24,Adult,"26,00"
469,2,0,female,22,Adult,"21,00"
470,2,1,female,,Adult,"12,35"
471,2,0,male,35,Adult,"12,35"
472,2,1,female,45,Adult,"13,50"
473,2,0,male,57,Adult,"12,35"
474,2,0,male,,Adult,"0,00"
475,2,0,male,31,Adult,"10,50"
476,2,0,female,26,Adult,"26,00"
477,2,0,male,30,Adult,"26,00"
478,2,0,male,,Adult,"10,71"
479,2,1,female,1,Child,"41,58"
480,2,1,female,3,Child,"41,58"
481,2,0,male,25,Adult,"41,58"
482,2,1,female,22,Adult,"41,58"
483,2,1,female,17,Adult,"12,00"
484,2,1,female,,Adult,"33,00"
485,2,1,female,34,Adult,"10,50"
486,2,0,male,36,Adult,"12,88"
487,2,0,male,24,Adult,"10,50"
488,2,0,male,61,Adult,"12,35"
489,2,0,male,50,Adult,"26,00"
490,2,1,female,42,Adult,"26,00"
491,2,0,female,57,Adult,"10,50"
492,2,0,male,,Adult,"15,05"
493,2,1,male,1,Child,"37,00"
494,2,0,male,31,Adult,"37,00"
495,2,1,female,24,Adult,"37,00"
496,2,0,male,,Adult,"15,58"
497,2,0,male,30,Adult,"13,00"
498,2,0,male,40,Adult,"16,00"
499,2,0,male,32,Adult,"13,50"
500,2,0,male,30,Adult,"13,00"
501,2,0,male,46,Adult,"26,00"
502,2,1,female,13,Child,"19,50"
503,2,1,female,41,Adult,"19,50"
504,2,1,male,19,Adult,"10,50"
505,2,0,male,39,Adult,"13,00"
506,2,0,male,48,Adult,"13,00"
507,2,0,male,70,Adult,"10,50"
508,2,0,male,27,Adult,"13,00"
509,2,0,male,54,Adult,"14,00"
510,2,0,male,39,Adult,"26,00"
511,2,0,male,16,Adult,"10,50"
512,2,0,male,62,Adult,"9,69"
513,2,0,male,"32,5",Adult,"30,07"
514,2,1,female,14,Child,"30,07"
515,2,1,male,2,Child,"26,00"
516,2,1,male,3,Child,"26,00"
517,2,0,male,"36,5",Adult,"26,00"
518,2,0,male,26,Adult,"13,00"
519,2,0,male,19,Adult,"36,75"
520,2,0,male,28,Adult,"13,50"
521,2,1,male,20,Adult,"13,86"
522,2,1,female,29,Adult,"10,50"
523,2,0,male,39,Adult,"13,00"
524,2,1,male,22,Adult,"10,50"
525,2,1,male,,Adult,"13,86"
526,2,0,male,23,Adult,"10,50"
527,2,1,male,29,Adult,"13,86"
528,2,0,male,28,Adult,"10,50"
529,2,0,male,,Adult,"0,00"
530,2,1,female,50,Adult,"26,00"
531,2,0,male,19,Adult,"10,50"
532,2,0,male,,Adult,"15,05"
533,2,0,male,41,Adult,"13,00"
534,2,1,female,21,Adult,"21,00"
535,2,1,female,19,Adult,"26,00"
536,2,0,male,43,Adult,"21,00"
537,2,1,female,32,Adult,"13,00"
538,2,0,male,34,Adult,"13,00"
539,2,1,male,30,Adult,"12,74"
540,2,0,male,27,Adult,"15,03"
541,2,1,female,2,Child,"26,00"
542,2,1,female,8,Child,"26,00"
543,2,1,female,33,Adult,"26,00"
544,2,0,male,36,Adult,"10,50"
545,2,0,male,34,Adult,"21,00"
546,2,1,female,30,Adult,"21,00"
547,2,1,female,28,Adult,"13,00"
548,2,0,male,23,Adult,"15,05"
549,2,1,male,"0,8333",Child,"18,75"
550,2,1,male,3,Child,"18,75"
551,2,1,female,24,Adult,"18,75"
552,2,1,female,50,Adult,"10,50"
553,2,0,male,19,Adult,"10,50"
554,2,1,female,21,Adult,"10,50"
555,2,0,male,26,Adult,"13,00"
556,2,0,male,25,Adult,"13,00"
557,2,0,male,27,Adult,"26,00"
558,2,1,female,25,Adult,"26,00"
559,2,1,female,18,Adult,"13,00"
560,2,1,female,20,Adult,"36,75"
561,2,1,female,30,Adult,"13,00"
562,2,0,male,59,Adult,"13,50"
563,2,1,female,30,Adult,"12,35"
564,2,0,male,35,Adult,"10,50"
565,2,1,female,40,Adult,"13,00"
566,2,0,male,25,Adult,"13,00"
567,2,0,male,41,Adult,"15,05"
568,2,0,male,25,Adult,"10,50"
569,2,0,male,"18,5",Adult,"13,00"
570,2,0,male,14,Child,"65,00"
571,2,1,female,50,Adult,"10,50"
572,2,0,male,23,Adult,"13,00"
573,2,1,female,28,Adult,"12,65"
574,2,1,female,27,Adult,"10,50"
575,2,0,male,29,Adult,"21,00"
576,2,0,female,27,Adult,"21,00"
577,2,0,male,40,Adult,"13,00"
578,2,1,female,31,Adult,"21,00"
579,2,0,male,30,Adult,"21,00"
580,2,0,male,23,Adult,"10,50"
581,2,1,female,31,Adult,"21,00"
582,2,0,male,,Adult,"0,00"
583,2,1,female,12,Child,"15,75"
584,2,1,female,40,Adult,"15,75"
585,2,1,female,"32,5",Adult,"13,00"
586,2,0,male,27,Adult,"26,00"
587,2,1,female,29,Adult,"26,00"
588,2,1,male,2,Child,"23,00"
589,2,1,female,4,Child,"23,00"
590,2,1,female,29,Adult,"23,00"
591,2,1,female,"0,9167",Child,"27,75"
592,2,1,female,5,Child,"27,75"
593,2,0,male,36,Adult,"27,75"
594,2,1,female,33,Adult,"27,75"
595,2,0,male,66,Adult,"10,50"
596,2,0,male,,Adult,"12,88"
597,2,1,male,31,Adult,"13,00"
598,2,1,male,,Adult,"13,00"
599,2,1,female,26,Adult,"13,50"
600,2,0,female,24,Adult,"13,00"
601,3,0,male,42,Adult,"7,55"
602,3,0,male,13,Child,"20,25"
603,3,0,male,16,Adult,"20,25"
604,3,1,female,35,Adult,"20,25"
605,3,1,female,16,Adult,"7,65"
606,3,1,male,25,Adult,"7,65"
607,3,1,male,20,Adult,"7,92"
608,3,1,female,18,Adult,"7,23"
609,3,0,male,30,Adult,"7,25"
610,3,0,male,26,Adult,"8,05"
611,3,0,female,40,Adult,"9,48"
612,3,1,male,"0,8333",Child,"9,35"
613,3,1,female,18,Adult,"9,35"
614,3,1,male,26,Adult,"18,79"
615,3,0,male,26,Adult,"7,89"
616,3,0,male,20,Adult,"7,92"
617,3,0,male,24,Adult,"7,05"
618,3,0,male,25,Adult,"7,05"
619,3,0,male,35,Adult,"8,05"
620,3,0,male,18,Adult,"8,30"
621,3,0,male,32,Adult,"22,53"
622,3,1,female,19,Adult,"7,85"
623,3,0,male,4,Child,"31,28"
624,3,0,female,6,Child,"31,28"
625,3,0,female,2,Child,"31,28"
626,3,1,female,17,Adult,"7,92"
627,3,0,female,38,Adult,"7,78"
628,3,0,female,9,Child,"31,28"
629,3,0,female,11,Child,"31,28"
630,3,0,male,39,Adult,"31,28"
631,3,1,male,27,Adult,"7,80"
632,3,0,male,26,Adult,"7,78"
633,3,0,female,39,Adult,"31,28"
634,3,0,male,20,Adult,"7,85"
635,3,0,male,26,Adult,"7,90"
636,3,0,male,25,Adult,"17,80"
637,3,0,female,18,Adult,"17,80"
638,3,0,male,24,Adult,"7,78"
639,3,0,male,35,Adult,"7,05"
640,3,0,male,5,Child,"31,39"
641,3,0,male,9,Child,"31,39"
642,3,1,male,3,Child,"31,39"
643,3,0,male,13,Child,"31,39"
644,3,1,female,5,Child,"31,39"
645,3,0,male,40,Adult,"31,39"
646,3,1,male,23,Adult,"7,80"
647,3,1,female,38,Adult,"31,39"
648,3,1,female,45,Adult,"7,22"
649,3,0,male,21,Adult,"7,22"
650,3,0,male,23,Adult,"7,05"
651,3,0,female,17,Adult,"14,46"
652,3,0,male,30,Adult,"7,22"
653,3,0,male,23,Adult,"7,85"
654,3,1,female,13,Child,"7,23"
655,3,0,male,20,Adult,"7,22"
656,3,0,male,32,Adult,"15,85"
657,3,1,female,33,Adult,"15,85"
658,3,1,female,"0,75",Child,"19,26"
659,3,1,female,"0,75",Child,"19,26"
660,3,1,female,5,Child,"19,26"
661,3,1,female,24,Adult,"19,26"
662,3,1,female,18,Adult,"8,05"
663,3,0,male,40,Adult,"7,22"
664,3,0,male,26,Adult,"7,90"
665,3,1,male,20,Adult,"7,23"
666,3,0,female,18,Adult,"14,45"
667,3,0,female,45,Adult,"14,45"
668,3,0,female,27,Adult,"7,88"
669,3,0,male,22,Adult,"8,05"
670,3,0,male,19,Adult,"8,05"
671,3,0,male,26,Adult,"7,78"
672,3,0,male,22,Adult,"9,35"
673,3,0,male,,Adult,"7,23"
674,3,0,male,20,Adult,"4,01"
675,3,1,male,32,Adult,"56,50"
676,3,0,male,21,Adult,"7,78"
677,3,0,male,18,Adult,"7,75"
678,3,0,male,26,Adult,"7,90"
679,3,0,male,6,Child,"15,25"
680,3,0,female,9,Child,"15,25"
681,3,0,male,,Adult,"7,22"
682,3,0,female,,Adult,"15,25"
683,3,0,female,,Adult,"7,75"
684,3,0,male,40,Adult,"15,50"
685,3,0,female,32,Adult,"15,50"
686,3,0,male,21,Adult,"16,10"
687,3,1,female,22,Adult,"7,72"
688,3,0,female,20,Adult,"7,85"
689,3,0,male,29,Adult,"7,05"
690,3,0,male,22,Adult,"7,25"
691,3,0,male,22,Adult,"7,80"
692,3,0,male,35,Adult,"8,05"
693,3,0,female,"18,5",Adult,"7,28"
694,3,1,male,21,Adult,"7,82"
695,3,0,male,19,Adult,"6,75"
696,3,0,female,18,Adult,"7,88"
697,3,0,female,21,Adult,"8,66"
698,3,0,female,30,Adult,"8,66"
699,3,0,male,18,Adult,"8,66"
700,3,0,male,38,Adult,"8,66"
